C3,C4,Timestamp
-151264.82710419025,-120991.15502728881,1747830156.089001
-151269.94565367053,-120995.26774826858,1747830156.098009
-151270.68326123754,-120996.45239072472,1747830156.104995
-151264.6035867457,-120995.11128605739,1747830156.113047
-151269.81154320377,-120994.88776861284,1747830156.120076
-151258.81448493176,-120994.77600989057,1747830156.128124
-151268.17986585855,-120992.8090563785,1747830156.135067
-151253.18184532903,-120993.63607092334,1747830156.144111
-151268.78336295884,-120993.36784998988,1747830156.152084
-151246.31985978127,-120991.02091682208,1747830156.161105
-151268.44808679202,-120993.61371917889,1747830156.186188
-151243.950574869,-120992.18320753374,1747830156.19316
-151266.19056060203,-120992.36202148939,1747830156.199168
-151239.81550214477,-120990.59623367742,1747830156.206177
-151264.67064197906,-120992.58553893394,1747830156.213196
-151238.80967364428,-120990.97621333317,1747830156.219181
-151261.29552856632,-120992.16085578929,1747830156.226192
-151239.5472812113,-120993.05492556751,1747830156.233236
-151259.03800237633,-120993.99369883463,1747830156.239249
-151236.9991823434,-120990.88680635534,1747830156.246244
-151253.1594935846,-120992.29496625603,1747830156.253238
-151238.6532114331,-120992.20555927821,1747830156.259219
-151247.52685398184,-120990.79739937752,1747830156.270287
-151236.17216779856,-120988.42811446526,1747830156.277319
-151242.18478705702,-120990.32801274396,1747830156.283302
-151240.73192366742,-120992.13850404484,1747830156.290276
-151238.63085968862,-120992.29496625603,1747830156.297307
-151244.01763010237,-120994.7089546572,1747830156.303384
-151236.686257921,-120995.37950699085,1747830156.31233
-151246.699839437,-120996.63120468035,1747830156.320358
-151234.7863596423,-120998.01701283659,1747830156.328404
-151248.77855167133,-120997.97230934768,1747830156.337388
-151231.2994875073,-120998.5087512146,1747830156.345404
-151249.42675226054,-120998.03936458104,1747830156.353423
-151226.15858628257,-120996.18416979125,1747830156.360421
-151248.97971737143,-120997.79349539203,1747830156.369532
-151217.86608908966,-120990.48447495514,1747830156.37652
-151246.67748769253,-120996.96648084719,1747830156.383415
-151219.47541469045,-120993.99369883463,1747830156.391414
-151244.12938882463,-120996.56414944699,1747830156.399478
-151218.76015886787,-120994.306623257,1747830156.408484
-151239.97196435597,-120995.22304477968,1747830156.417541
-151217.62021990065,-120993.39020173434,1747830156.425498
-151235.1886910425,-120994.03840232354,1747830156.434553
-151217.62021990065,-120992.74200114513,1747830156.441574
-151230.60658342918,-120993.81488487899,1747830156.448587
-151216.54733616678,-120991.17737903327,1747830156.458566
-151225.35392348218,-120993.36784998988,1747830156.465623
-151220.07891179074,-120993.56901568998,1747830156.471589
-151221.42001645805,-120994.37367849037,1747830156.50963
-151219.43071120154,-120992.20555927821,1747830156.517628
-151214.60273439917,-120992.69729765622,1747830156.523655
-151221.8894030916,-120993.77018139008,1747830156.530701
-151208.85833607416,-120991.66911741128,1747830156.53773
-151219.2966007348,-120990.41741972178,1747830156.5437
-151206.28788546182,-120993.61371917889,1747830156.550699
